OrderID,OrderDate,Year,Month,CustomerID,CustomerRegion,ProductCategory,ProductName,UnitPrice,Quantity,DiscountPct,GrossSales,DiscountAmount,NetSales,COGS,Profit,PaymentMethod,ShippingStatus
1001,2025-11-24,2025,11,CUST-242,Europe,Technology,Cloud Server Subscription,499.0,5,0.05,2495.0,124.75,2370.25,1497.0,873.25,Credit Card,Processing
1002,2025-02-14,2025,02,CUST-323,North America,Furniture,Lounge Waiting Sofa,550.0,1,0.0,550.0,0.0,550.0,330.0,220.0,Bank Transfer,Processing
1003,2025-11-05,2025,11,CUST-325,Latin America,Technology,Mechanical Keyboard RGB,89.0,4,0.2,356.0,71.2,284.8,213.6,71.2,Corporate Invoice,Processing
1004,2025-05-23,2025,05,CUST-259,Asia-Pacific,Technology,Developer Laptop Pro,1299.0,7,0.1,9093.0,909.3,8183.7,5455.8,2727.9,Bank Transfer,Delivered
1005,2025-02-22,2025,02,CUST-718,Asia-Pacific,Technology,Wireless Noise-Canceling Headset,149.0,2,0.1,298.0,29.8,268.2,178.8,89.4,PayPal,Delivered
1006,2025-08-24,2025,08,CUST-400,Middle East,Furniture,Executive Conference Table,899.0,7,0.0,6293.0,0.0,6293.0,3775.8,2517.2,PayPal,Processing
1007,2025-04-09,2025,04,CUST-181,Asia-Pacific,Furniture,Executive Conference Table,899.0,1,0.05,899.0,44.95,854.05,539.4,314.65,Bank Transfer,Delivered
1008,2025-07-14,2025,07,CUST-463,Asia-Pacific,Office Supplies,Desk LED Lighting Bar,39.0,6,0.05,234.0,11.7,222.3,140.4,81.9,Bank Transfer,Delivered
1009,2025-12-26,2025,12,CUST-846,Middle East,Furniture,Executive Conference Table,899.0,10,0.05,8990.0,449.5,8540.5,5394.0,3146.5,Bank Transfer,Delivered
1010,2025-08-25,2025,08,CUST-963,Asia-Pacific,Office Supplies,Dual Monitor Arm,79.0,9,0.05,711.0,35.55,675.45,426.6,248.85,Credit Card,Delivered
1011,2025-01-17,2025,01,CUST-680,Europe,Office Supplies,Desk LED Lighting Bar,39.0,5,0.0,195.0,0.0,195.0,117.0,78.0,PayPal,Delivered
1012,2025-12-02,2025,12,CUST-242,Asia-Pacific,Office Supplies,Desk LED Lighting Bar,39.0,8,0.05,312.0,15.6,296.4,187.2,109.2,Bank Transfer,Processing
1013,2025-10-03,2025,10,CUST-470,Latin America,Office Supplies,Eco Notebook & Pen Set,19.0,7,0.2,133.0,26.6,106.4,79.8,26.6,Bank Transfer,Delivered
1014,2025-09-18,2025,09,CUST-742,Europe,Office Supplies,Ergonomic Desk Chair,299.0,1,0.0,299.0,0.0,299.0,179.4,119.6,Bank Transfer,Shipped
1015,2025-11-02,2025,11,CUST-641,Latin America,Technology,Wireless Noise-Canceling Headset,149.0,7,0.2,1043.0,208.6,834.4,625.8,208.6,PayPal,Processing
1016,2025-01-06,2025,01,CUST-214,Asia-Pacific,Furniture,Executive Conference Table,899.0,9,0.1,8091.0,809.1,7281.9,4854.6,2427.3,PayPal,Shipped
1017,2025-03-22,2025,03,CUST-619,Europe,Office Supplies,Ergonomic Desk Chair,299.0,5,0.2,1495.0,299.0,1196.0,897.0,299.0,Credit Card,Delivered
1018,2025-11-24,2025,11,CUST-652,Europe,Furniture,Acoustic Soundproofing Panel,120.0,3,0.1,360.0,36.0,324.0,216.0,108.0,Credit Card,Processing
1019,2025-06-15,2025,06,CUST-345,Asia-Pacific,Office Supplies,Ergonomic Desk Chair,299.0,2,0.1,598.0,59.8,538.2,358.8,179.4,Credit Card,Delivered
1020,2025-10-18,2025,10,CUST-884,Middle East,Technology,Cloud Server Subscription,499.0,8,0.0,3992.0,0.0,3992.0,2395.2,1596.8,Bank Transfer,Delivered
1021,2025-12-04,2025,12,CUST-993,Middle East,Office Supplies,Eco Notebook & Pen Set,19.0,3,0.1,57.0,5.7,51.3,34.2,17.1,Corporate Invoice,Delivered
1022,2025-10-04,2025,10,CUST-548,Asia-Pacific,Furniture,Acoustic Soundproofing Panel,120.0,5,0.15,600.0,90.0,510.0,360.0,150.0,Corporate Invoice,Delivered
1023,2025-05-07,2025,05,CUST-667,Middle East,Technology,Cloud Server Subscription,499.0,6,0.0,2994.0,0.0,2994.0,1796.4,1197.6,Bank Transfer,Processing
1024,2025-04-23,2025,04,CUST-132,North America,Technology,Cloud Server Subscription,499.0,1,0.05,499.0,24.95,474.05,299.4,174.65,PayPal,Delivered
